frame,worker_id,helmet,vest,mask,status
77,3,False,False,False,NO HARDHAT | NO SAFETY VEST
77,5,True,False,False,MONITORING
77,33,False,False,False,NO SAFETY VEST
78,3,False,False,False,NO HARDHAT | NO SAFETY VEST
78,5,True,False,False,MONITORING
78,33,True,False,False,MONITORING
79,3,False,False,False,NO HARDHAT | NO SAFETY VEST
79,5,True,False,False,MONITORING
79,33,True,False,False,MONITORING
79,29,False,False,False,MONITORING
80,3,False,False,False,NO HARDHAT | NO SAFETY VEST
80,5,True,False,False,MONITORING
80,33,True,False,False,MONITORING
80,29,False,False,False,MONITORING
81,3,False,False,False,NO HARDHAT | NO SAFETY VEST
81,5,True,False,False,MONITORING
81,33,True,False,False,MONITORING
81,29,False,False,False,MONITORING
82,3,False,False,False,NO HARDHAT | NO SAFETY VEST
82,5,True,False,False,MONITORING
82,33,True,False,False,MONITORING
82,29,False,False,False,MONITORING
83,3,False,False,False,NO HARDHAT | NO SAFETY VEST
83,5,True,False,False,MONITORING
83,33,False,False,False,MONITORING
83,29,False,False,False,MONITORING
84,3,False,False,False,NO HARDHAT | NO SAFETY VEST
84,5,True,False,False,MONITORING
84,33,False,False,False,MONITORING
84,29,False,False,False,MONITORING
85,3,False,False,False,NO HARDHAT | NO SAFETY VEST
85,5,True,False,False,MONITORING
85,33,False,False,False,MONITORING
85,29,False,False,False,MONITORING
86,3,False,False,False,NO HARDHAT | NO SAFETY VEST
86,5,True,False,False,MONITORING
86,33,False,False,False,MONITORING
86,29,False,False,False,MONITORING
86,44,False,False,False,MONITORING
87,3,False,False,False,NO HARDHAT | NO SAFETY VEST
87,5,True,False,False,MONITORING
87,33,False,False,False,MONITORING
87,29,False,False,False,MONITORING
88,3,False,False,False,NO HARDHAT | NO SAFETY VEST
88,5,True,False,False,NO SAFETY VEST
88,33,False,False,False,NO SAFETY VEST
88,29,False,False,False,MONITORING
88,44,False,False,False,MONITORING
89,3,False,False,False,NO HARDHAT | NO SAFETY VEST
89,5,True,False,False,NO SAFETY VEST
89,33,False,False,False,NO SAFETY VEST
89,29,False,False,False,MONITORING
90,3,False,False,False,NO HARDHAT | NO SAFETY VEST
90,5,True,False,False,NO SAFETY VEST
90,33,False,False,False,NO SAFETY VEST
90,29,False,False,False,MONITORING
90,44,False,False,False,NO SAFETY VEST
91,3,False,False,False,NO HARDHAT | NO SAFETY VEST
91,5,True,False,False,NO SAFETY VEST
91,33,False,False,False,NO SAFETY VEST
91,29,False,False,False,MONITORING
92,3,False,False,False,NO HARDHAT | NO SAFETY VEST
92,5,True,False,False,NO SAFETY VEST
92,33,False,False,False,NO SAFETY VEST
92,29,False,False,False,MONITORING
93,3,False,False,False,NO HARDHAT | NO SAFETY VEST
93,5,True,False,False,NO SAFETY VEST
93,33,False,False,False,NO SAFETY VEST
93,29,False,False,False,MONITORING
94,3,False,False,False,NO HARDHAT | NO SAFETY VEST
94,5,True,False,False,NO SAFETY VEST
94,33,False,False,False,NO SAFETY VEST
94,29,False,False,False,MONITORING
95,3,False,False,False,NO HARDHAT | NO SAFETY VEST
95,5,True,False,False,NO SAFETY VEST
95,33,False,False,False,NO SAFETY VEST
95,29,False,False,False,MONITORING
96,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
96,5,True,False,False,NO SAFETY VEST
96,33,False,False,False,NO SAFETY VEST
96,29,False,False,False,MONITORING
97,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
97,5,True,False,False,NO SAFETY VEST
97,33,False,False,False,NO SAFETY VEST
97,29,False,False,False,MONITORING
98,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
98,5,True,False,False,NO SAFETY VEST
98,33,False,False,False,NO SAFETY VEST
98,29,False,False,False,MONITORING
99,3,False,False,False,NO HARDHAT | NO SAFETY VEST
99,5,True,False,False,MONITORING
99,33,False,False,False,MONITORING
99,29,False,False,False,MONITORING
100,3,False,False,False,NO HARDHAT | NO SAFETY VEST
100,5,True,False,False,MONITORING
100,33,False,False,False,MONITORING
100,29,False,False,False,MONITORING
101,3,False,False,False,NO HARDHAT | NO SAFETY VEST
101,5,True,False,False,MONITORING
101,33,False,False,False,MONITORING
101,29,False,False,False,MONITORING
102,3,False,False,False,NO HARDHAT | NO SAFETY VEST
102,5,True,False,False,NO SAFETY VEST
102,33,False,False,False,MONITORING
102,29,False,False,False,MONITORING
103,3,False,False,False,NO HARDHAT | NO SAFETY VEST
103,5,True,False,False,NO SAFETY VEST
103,33,False,False,False,NO SAFETY VEST
103,29,False,False,False,MONITORING
104,3,False,False,False,NO HARDHAT | NO SAFETY VEST
104,5,True,False,False,NO SAFETY VEST
104,33,False,False,False,NO SAFETY VEST
105,3,False,False,False,NO HARDHAT | NO SAFETY VEST
105,5,True,False,False,NO SAFETY VEST
105,33,False,False,False,NO SAFETY VEST
105,29,False,False,False,MONITORING
106,3,False,False,False,NO HARDHAT | NO SAFETY VEST
106,5,True,False,False,NO SAFETY VEST
106,29,False,False,False,MONITORING
107,3,False,False,False,NO HARDHAT | NO SAFETY VEST
107,5,True,False,False,NO SAFETY VEST
107,29,False,False,False,MONITORING
107,33,False,False,False,NO SAFETY VEST
108,3,False,False,False,NO HARDHAT | NO SAFETY VEST
108,5,True,False,False,NO SAFETY VEST
108,29,False,False,False,MONITORING
108,44,False,False,False,NO SAFETY VEST
109,3,False,False,False,NO HARDHAT | NO SAFETY VEST
109,5,True,False,False,NO SAFETY VEST
109,29,False,False,False,MONITORING
109,44,False,False,False,NO SAFETY VEST
110,3,False,False,False,NO HARDHAT | NO SAFETY VEST
110,5,True,False,False,NO SAFETY VEST
110,29,False,False,False,MONITORING
110,33,False,False,False,NO SAFETY VEST
111,3,False,False,False,NO HARDHAT | NO SAFETY VEST
111,5,True,False,False,NO SAFETY VEST
111,33,False,False,False,NO SAFETY VEST
112,3,False,False,False,NO HARDHAT | NO SAFETY VEST
112,5,True,False,False,NO SAFETY VEST
113,3,False,False,False,NO HARDHAT | NO SAFETY VEST
113,5,True,False,False,NO SAFETY VEST
113,33,False,False,False,NO SAFETY VEST
114,3,False,False,False,NO HARDHAT | NO SAFETY VEST
114,5,True,False,False,NO SAFETY VEST
115,3,False,False,False,NO HARDHAT | NO SAFETY VEST
115,5,True,False,False,NO SAFETY VEST
116,3,False,False,False,NO HARDHAT | NO SAFETY VEST
116,5,True,False,False,NO SAFETY VEST | NO MASK
117,3,False,False,False,NO HARDHAT | NO SAFETY VEST
117,5,True,False,False,NO SAFETY VEST | NO MASK
118,3,False,False,False,NO HARDHAT | NO SAFETY VEST
118,5,True,False,False,NO SAFETY VEST | NO MASK
119,3,False,False,False,NO HARDHAT | NO SAFETY VEST
119,5,True,False,False,NO SAFETY VEST | NO MASK
120,3,False,False,False,NO HARDHAT | NO SAFETY VEST
120,5,True,False,False,NO SAFETY VEST | NO MASK
121,3,False,False,False,NO HARDHAT | NO SAFETY VEST
121,5,True,False,False,NO SAFETY VEST | NO MASK
122,3,False,False,False,NO HARDHAT | NO SAFETY VEST
122,5,True,False,False,NO SAFETY VEST | NO MASK
123,3,False,False,False,NO HARDHAT | NO SAFETY VEST
123,5,True,False,False,NO SAFETY VEST | NO MASK
124,3,False,False,False,NO HARDHAT | NO SAFETY VEST
124,5,True,False,False,NO SAFETY VEST | NO MASK
125,3,False,False,False,NO HARDHAT | NO SAFETY VEST
125,5,True,False,False,NO SAFETY VEST | NO MASK
126,3,False,False,False,NO HARDHAT | NO SAFETY VEST
126,5,True,False,False,NO SAFETY VEST | NO MASK
127,3,False,False,False,NO HARDHAT | NO SAFETY VEST
127,5,True,False,False,NO SAFETY VEST | NO MASK
128,3,False,False,False,NO HARDHAT | NO SAFETY VEST
128,5,True,False,False,NO SAFETY VEST
129,3,False,False,False,NO HARDHAT | NO SAFETY VEST
129,5,True,False,False,NO SAFETY VEST
130,3,False,False,False,NO HARDHAT | NO SAFETY VEST
130,5,True,False,False,NO SAFETY VEST
131,3,False,False,False,NO HARDHAT | NO SAFETY VEST
131,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
132,3,False,False,False,NO HARDHAT | NO SAFETY VEST
132,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
133,3,False,False,False,NO HARDHAT | NO SAFETY VEST
133,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
134,3,False,False,False,NO HARDHAT | NO SAFETY VEST
134,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
135,3,False,False,False,NO HARDHAT | NO SAFETY VEST
135,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
135,64,True,False,False,MONITORING
136,3,False,False,False,NO HARDHAT | NO SAFETY VEST
136,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
136,29,False,False,False,MONITORING
137,3,False,False,False,NO HARDHAT | NO SAFETY VEST
137,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
137,29,False,False,False,MONITORING
138,3,False,False,False,NO HARDHAT | NO SAFETY VEST
138,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
139,3,False,False,False,NO HARDHAT | NO SAFETY VEST
139,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
139,64,True,False,False,MONITORING
139,29,False,False,False,MONITORING
140,3,False,False,False,NO HARDHAT | NO SAFETY VEST
140,64,True,False,False,NO SAFETY VEST | NO MASK
140,29,False,False,False,MONITORING
141,3,False,False,False,NO HARDHAT | NO SAFETY VEST
141,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
141,29,False,False,False,MONITORING
141,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
142,3,False,False,False,NO HARDHAT | NO SAFETY VEST
142,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
142,29,False,False,False,MONITORING
142,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
143,3,False,False,False,NO HARDHAT | NO SAFETY VEST
143,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
143,29,False,False,False,MONITORING
144,3,False,False,False,NO HARDHAT | NO SAFETY VEST
144,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
144,29,False,False,False,MONITORING
145,3,False,False,False,NO HARDHAT | NO SAFETY VEST
145,29,False,False,False,MONITORING
145,5,True,False,False,NO SAFETY VEST | NO MASK
146,3,False,False,False,NO HARDHAT | NO SAFETY VEST
146,29,False,False,False,MONITORING
146,5,True,False,False,NO SAFETY VEST | NO MASK
147,3,False,False,False,NO HARDHAT | NO SAFETY VEST
147,29,False,False,False,MONITORING
147,5,True,False,False,NO SAFETY VEST | NO MASK
